        nu  unc1  unc2 nu1' nu2' nu3' nu4' L3' L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"          E'        Calc'  Obs-Calc'          Source Method  BandMatch
7586.20799  0.01  0.01    1    1    0    2   0   2   0   0  a    E"   -1     0     0     0     0    0    0   1   1  a    E'    1 7603.171346  7597.545837   5.625509  16BaYuTeBe.210     Br      False
7847.11974  0.01  0.01    0    1    2    0   2   0   0   0  a    E"   -2     0     0     0     0    0    0   1   1  a    E'    1 7864.083096  7864.106562  -0.023466  16BaYuTeBe.701     Br       True
8160.47250  0.01  0.01    1    0    1    1   1   1   0   0  a    E"   -3     0     0     0     0    0    0   1   1  a    E'    1 8177.435856  8176.495506   0.940350 16BaYuTeBe.1149     Br       True
8240.57080  0.01  0.01    1    0    0    3   0   1   0   0  a    E"   -4     0     0     0     0    0    0   1   1  a    E'    1 8257.534156  8261.259912  -3.725756 16BaYuTeBe.1381     Br      False
8446.90855  0.01  0.01    0    0    2    1   2   1   0   0  a    E"   -5     0     0     0     0    0    0   1   1  a    E'    1 8463.871906  8458.398346   5.473560 16BaYuTeBe.2042     Br       True
7556.78189  0.01  0.01    1    1    0    2   0   2   0   0  s    E'   -1     0     0     0     0    0    0   1   1  s    E"    1 7572.954883  7567.800039   5.154844  16BaYuTeBe.163     Br      False
7640.69699  0.01  0.01    1    1    1    0   1   0   0   0  s    E'   -2     0     0     0     0    0    0   1   1  s    E"    1 7656.869983  7656.640202   0.229781  16BaYuTeBe.320     Br       True
7838.21627  0.01  0.01    0    1    2    0   2   0   0   0  s    E'   -3     0     0     0     0    0    0   1   1  s    E"    1 7854.389263  7854.301599   0.087664  16BaYuTeBe.688     Br       True
8070.41962  0.01  0.01    2    0    0    1   0   1   0   0  s    E'   -4     0     0     0     0    0    0   1   1  s    E"    1 8086.592613  8088.580147  -1.987534  16BaYuTeBe.959     Br       True
8158.52870  0.01  0.01    1    0    1    1   1   1   0   0  s    E'   -5     0     0     0     0    0    0   1   1  s    E"    1 8174.701693  8174.581754   0.119939 16BaYuTeBe.1143     Br       True
8237.57642  0.01  0.01    1    0    0    3   0   1   0   0  s    E'   -6     0     0     0     0    0    0   1   1  s    E"    1 8253.749413  8250.153048   3.596365 16BaYuTeBe.1369     Br      False
8250.15547  0.01  0.01    1    2    0    2   0   2   0   0  s    E'   -7     0     0     0     0    0    0   1   1  s    E"    1 8266.328463  8260.186516   6.141947 16BaYuTeBe.1406     Br      False
8447.11715  0.01  0.01    0    0    2    1   2   1   0   0  s    E'   -8     0     0     0     0    0    0   1   1  s    E"    1 8463.290143  8458.365179   4.924964 16BaYuTeBe.2044     Br       True
7850.91002  0.01  0.01    0    1    2    0   2   0   1   1  s   A2"   -1     0     0     0     0    0    0   1   0  s   A2'    1 7870.799906  7870.717171   0.082735  16BaYuTeBe.707     Br       True
8084.88707  0.01  0.01    2    0    0    1   0   1   1   1  s   A2"   -2     0     0     0     0    0    0   1   0  s   A2'    1 8104.776956  8106.834096  -2.057140  16BaYuTeBe.981     Br       True
8168.60717  0.01  0.01    1    0    1    1   1   1   1   1  s   A2"   -3     0     0     0     0    0    0   1   0  s   A2'    1 8188.497056  8188.352284   0.144772 16BaYuTeBe.1171     Br       True
8243.11090  0.01  0.01    1    0    0    3   0   1   1   1  s   A2"   -4     0     0     0     0    0    0   1   0  s   A2'    1 8263.000786  8259.655757   3.345029 16BaYuTeBe.1390     Br      False
7629.15983  0.01  0.01    1    1    1    0   1   0   1   1  a   A2'   -1     0     0     0     0    0    0   2   0  a   A2"    1 7689.572848  7689.037155   0.535693  16BaYuTeBe.295   CD_b       True
7688.79971  0.01  0.01    1    1    1    0   1   0   1   1  a   A2'   -1     0     0     0     0    0    0   0   0  a   A2"    1 7689.593113  7689.037155   0.555958  16BaYuTeBe.399   CD_b       True
7820.25363  0.01  0.01    0    1    2    0   2   0   1   1  a   A2'   -2     0     0     0     0    0    0   2   0  a   A2"    1 7880.666648  7880.702830  -0.036182  16BaYuTeBe.661     CD       True
7879.87362  0.01  0.01    0    1    2    0   2   0   1   1  a   A2'   -2     0     0     0     0    0    0   0   0  a   A2"    1 7880.667023  7880.702830  -0.035807  16BaYuTeBe.754     CD       True
8266.77001  0.01  0.01    1    0    0    3   0   1   1   1  a   A2'   -3     0     0     0     0    0    0   0   0  a   A2"    1 8267.563413  8267.848073  -0.284660 16BaYuTeBe.1474     Br      False
8405.35430  0.01  0.01    0    0    2    1   2   1   1   0  s   A2'   -4     0     0     0     0    0    0   2   0  a   A2"    1 8465.767318  8465.773465  -0.006147 16BaYuTeBe.1969     CD       True
8464.97429  0.01  0.01    0    0    2    1   2   1   1   0  s   A2'   -4     0     0     0     0    0    0   0   0  a   A2"    1 8465.767693  8465.773465  -0.005772 16BaYuTeBe.2077     CD       True
8474.33185  0.01  0.01    0    0    2    1   2   1   1   1  a   A2'   -5     0     0     0     0    0    0   0   0  a   A2"    1 8475.125253  8469.415489   5.709764 16BaYuTeBe.2085     Br       True
