        nu  unc1  unc2  nu1'  nu2'  nu3'  nu4'  L3'  L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"         Source
9624.88691  0.01  0.01     2     0     0     2    0    2   0   0  s    E'   91     0     0     0     0    0    0   1   1  s    E"    1 17BaPoYuTe.215
9625.74500  0.01  0.01     2     0     0     2    0    2   0   0  a    E"   84     0     0     0     0    0    0   1   1  a    E'    1 17BaPoYuTe.332
9596.18121  0.01  0.01     2     0     0     2    0    2   1   1  a   A2'  152     0     0     0     0    0    0   2   0  a   A2"    1 17BaPoYuTe.333
9604.04938  0.01  0.01     2     0     0     2    0    2   1   0  s    E'  261     0     0     0     0    0    0   2   1  s    E"    2 17BaPoYuTe.216
9643.81534  0.01  0.01     2     0     0     2    0    2   1   0  s    E'  261     0     0     0     0    0    0   1   1  s    E"    1 17BaPoYuTe.217
9615.79954  0.01  0.01     2     0     0     2    0    2   1   1  a    E'  262     0     0     0     0    0    0   2   2  a    E"    1 17BaPoYuTe.335
9646.76312  0.01  0.01     2     0     0     2    0    2   1   0  a    E"  270     0     0     0     0    0    0   1   1  a    E'    1 17BaPoYuTe.334
9663.37826  0.01  0.01     2     0     0     2    0    2   2   2  s    E'  446     0     0     0     0    0    0   1   1  s    E"    1 17BaPoYuTe.219
9624.93041  0.01  0.01     2     0     0     2    0    2   2   2  a    E"  439     0     0     0     0    0    0   2   1  a    E'    2 17BaPoYuTe.339
9565.36153  0.01  0.01     2     0     0     2    0    2   2   2  a    E"  439     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.336
9603.66509  0.01  0.01     2     0     0     2    0    2   2   2  s   A2'  201     0     0     0     0    0    0   3   3  s   A2"    1 17BaPoYuTe.218
9674.08662  0.01  0.01     2     0     1     0    1    0   0   0  s    E'   94     0     0     0     0    0    0   1   1  s    E"    1 17BaPoYuTe.440
9674.19392  0.01  0.01     2     0     0     2    0    2   2   1  s   A2"  237     0     0     0     0    0    0   1   0  s   A2'    1 17BaPoYuTe.224
9574.84609  0.01  0.01     2     0     0     2    0    2   2   1  s   A2"  237     0     0     0     0    0    0   3   0  s   A2'    2 17BaPoYuTe.221
9679.61300  0.01  0.01     2     0     1     0    1    0   0   0  a    E"   85     0     0     0     0    0    0   1   1  a    E'    1 17BaPoYuTe.538
9655.80439  0.01  0.01     2     0     0     2    0    2   2   1  s    E"  440     0     0     0     0    0    0   2   2  s    E'    1 17BaPoYuTe.220
9586.37265  0.01  0.01     2     0     0     2    0    2   2   0  s    E'  447     0     0     0     0    0    0   3   1  s    E"    2 17BaPoYuTe.222
9645.97333  0.01  0.01     2     0     0     2    0    2   2   0  s    E'  447     0     0     0     0    0    0   2   1  s    E"    2 17BaPoYuTe.223
9597.70531  0.01  0.01     2     0     0     2    0    2   2   1  a    E'  448     0     0     0     0    0    0   3   2  a    E"    1 17BaPoYuTe.338
9657.30198  0.01  0.01     2     0     0     2    0    2   2   1  a    E'  448     0     0     0     0    0    0   2   2  a    E"    1 17BaPoYuTe.341
9686.93007  0.01  0.01     2     0     0     2    0    2   2   0  a    E"  441     0     0     0     0    0    0   1   1  a    E'    1 17BaPoYuTe.342
9587.61965  0.01  0.01     2     0     0     2    0    2   2   0  a    E"  441     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.337
9647.18912  0.01  0.01     2     0     0     2    0    2   2   0  a    E"  441     0     0     0     0    0    0   2   1  a    E'    2 17BaPoYuTe.340
9660.89177  0.01  0.01     2     0     1     0    1    0   1   1  s    E"  273     0     0     0     0    0    0   2   2  s    E'    1 17BaPoYuTe.443
9686.19478  0.01  0.01     2     0     1     0    1    0   1   1  s   A2"  119     0     0     0     0    0    0   1   0  s   A2'    1 17BaPoYuTe.444
9649.87981  0.01  0.01     2     0     1     0    1    0   1   1  a   A2'  153     0     0     0     0    0    0   2   0  a   A2"    1 17BaPoYuTe.539
9694.14065  0.01  0.01     2     0     1     0    1    0   1   0  s    E'  267     0     0     0     0    0    0   1   1  s    E"    1 17BaPoYuTe.442
9654.37880  0.01  0.01     2     0     1     0    1    0   1   0  s    E'  267     0     0     0     0    0    0   2   1  s    E"    2 17BaPoYuTe.441
9666.32975  0.01  0.01     2     0     1     0    1    0   1   1  a    E'  267     0     0     0     0    0    0   2   2  a    E"    1 17BaPoYuTe.541
9671.71423  0.01  0.01     2     0     0     2    0    2   3   3  s    E"  616     0     0     0     0    0    0   2   2  s    E'    1 17BaPoYuTe.225
9659.82658  0.01  0.01     2     0     1     0    1    0   1   0  a    E"  276     0     0     0     0    0    0   2   1  a    E'    2 17BaPoYuTe.540
9707.90030  0.01  0.01     1     0     1     2    1    2   0   0  s    E'   96     0     0     0     0    0    0   1   1  s    E"    1   17BaPoYuTe.1
9709.68289  0.01  0.01     1     0     1     2    1    2   0   0  a    E"   86     0     0     0     0    0    0   1   1  a    E'    1 17BaPoYuTe.101
9618.94083  0.01  0.01     2     0     1     0    1    0   2   2  s    E'  452     0     0     0     0    0    0   3   1  s    E"    2 17BaPoYuTe.445
9678.54041  0.01  0.01     2     0     1     0    1    0   2   2  s    E'  452     0     0     0     0    0    0   2   1  s    E"    2 17BaPoYuTe.449
9718.30646  0.01  0.01     2     0     1     0    1    0   2   2  s    E'  452     0     0     0     0    0    0   1   1  s    E"    1 17BaPoYuTe.452
9691.38996  0.01  0.01     1     0     1     2    1    2   1   1  a    E'  270     0     0     0     0    0    0   2   2  a    E"    1 17BaPoYuTe.106
9681.38689  0.01  0.01     2     0     1     0    1    0   2   2  a    E"  445     0     0     0     0    0    0   2   1  a    E'    2 17BaPoYuTe.544
9652.32990  0.01  0.01     2     0     1     0    1    0   2   2  a   A2"  240     0     0     0     0    0    0   3   3  a   A2'    1 17BaPoYuTe.546
9546.29240  0.01  0.01     2     0     0     2    0    2   3   2  s    E'  614     0     0     0     0    0    0   4   1  s    E"    3 17BaPoYuTe.227
9685.26038  0.01  0.01     2     0     0     2    0    2   3   2  s    E'  614     0     0     0     0    0    0   2   1  s    E"    2 17BaPoYuTe.233
9625.66270  0.01  0.01     2     0     0     2    0    2   3   2  s    E'  614     0     0     0     0    0    0   3   1  s    E"    2 17BaPoYuTe.230
9687.87107  0.01  0.01     2     0     0     2    0    2   3   2  a    E"  622     0     0     0     0    0    0   2   1  a    E'    2 17BaPoYuTe.351
9628.95849  0.01  0.01     2     0     1     0    1    0   2   1  s   A2"  242     0     0     0     0    0    0   3   0  s   A2'    2 17BaPoYuTe.446
9728.30652  0.01  0.01     2     0     1     0    1    0   2   1  s   A2"  242     0     0     0     0    0    0   1   0  s   A2'    1 17BaPoYuTe.453
9643.97753  0.01  0.01     2     0     1     0    1    0   2   1  s    E"  447     0     0     0     0    0    0   3   2  s    E'    1 17BaPoYuTe.448
9703.61061  0.01  0.01     2     0     1     0    1    0   2   1  s    E"  447     0     0     0     0    0    0   2   2  s    E'    1 17BaPoYuTe.451
9732.57190  0.01  0.01     1     0     1     2    1    2   1   0  a    E"  283     0     0     0     0    0    0   1   1  a    E'    1 17BaPoYuTe.104
9692.82895  0.01  0.01     1     0     1     2    1    2   1   0  a    E"  283     0     0     0     0    0    0   2   1  a    E'    2 17BaPoYuTe.102
9735.11989  0.01  0.01     2     0     1     0    1    0   2   0  s    E'  460     0     0     0     0    0    0   1   1  s    E"    1 17BaPoYuTe.454
9695.35434  0.01  0.01     2     0     1     0    1    0   2   0  s    E'  460     0     0     0     0    0    0   2   1  s    E"    2 17BaPoYuTe.450
9635.76087  0.01  0.01     2     0     1     0    1    0   2   0  s    E'  460     0     0     0     0    0    0   3   1  s    E"    2 17BaPoYuTe.447
9646.29063  0.01  0.01     2     0     1     0    1    0   2   1  a    E'  460     0     0     0     0    0    0   3   2  a    E"    1 17BaPoYuTe.545
9708.32799  0.01  0.01     1     0     1     2    1    2   1   1  s    E"  284     0     0     0     0    0    0   2   2  s    E'    1   17BaPoYuTe.4
9667.12475  0.01  0.01     2     0     0     2    0    2   3   2  a   A2"  294     0     0     0     0    0    0   3   3  a   A2'    1 17BaPoYuTe.348
9587.69475  0.01  0.01     2     0     0     2    0    2   3   2  a   A2"  294     0     0     0     0    0    0   4   3  a   A2'    1 17BaPoYuTe.345
9738.22708  0.01  0.01     2     0     1     0    1    0   2   0  a    E"  450     0     0     0     0    0    0   1   1  a    E'    1 17BaPoYuTe.543
9698.48143  0.01  0.01     2     0     1     0    1    0   2   0  a    E"  450     0     0     0     0    0    0   2   1  a    E'    2 17BaPoYuTe.542
9735.96619  0.01  0.01     1     0     1     2    1    2   1   1  s   A2"  122     0     0     0     0    0    0   1   0  s   A2'    1   17BaPoYuTe.5
9712.93638  0.01  0.01     1     0     1     2    1    2   1   0  s    E'  275     0     0     0     0    0    0   2   2  a    E"    1   17BaPoYuTe.2
9742.35317  0.01  0.01     1     0     1     2    1    2   1   0  s    E'  275     0     0     0     0    0    0   1   1  s    E"    1   17BaPoYuTe.3
9639.57105  0.01  0.01     2     0     0     2    0    2   3   1  s   A2"  295     0     0     0     0    0    0   3   0  s   A2'    2 17BaPoYuTe.226
9758.97510  0.01  0.01     1     0     1     2    1    2   1   1  a   A2'  159     0     0     0     0    0    0   0   0  a   A2"    1 17BaPoYuTe.105
9699.36253  0.01  0.01     1     0     1     2    1    2   1   1  a   A2'  159     0     0     0     0    0    0   2   0  a   A2"    1 17BaPoYuTe.103
9579.74228  0.01  0.01     2     0     0     2    0    2   3   1  s    E"  626     0     0     0     0    0    0   4   2  s    E'    2 17BaPoYuTe.229
9659.15008  0.01  0.01     2     0     0     2    0    2   3   1  s    E"  626     0     0     0     0    0    0   3   2  s    E'    1 17BaPoYuTe.232
9718.77695  0.01  0.01     2     0     0     2    0    2   3   1  s    E"  626     0     0     0     0    0    0   2   2  s    E'    1 17BaPoYuTe.235
9579.50138  0.01  0.01     2     0     0     2    0    2   3   1  a    E'  617     0     0     0     0    0    0   4   2  a    E"    2 17BaPoYuTe.344
9718.46836  0.01  0.01     2     0     0     2    0    2   3   1  a    E'  617     0     0     0     0    0    0   2   2  a    E"    1 17BaPoYuTe.350
9658.87208  0.01  0.01     2     0     0     2    0    2   3   1  a    E'  617     0     0     0     0    0    0   3   2  a    E"    1 17BaPoYuTe.347
9598.89330  0.01  0.01     2     0     0     2    0    2   4   4  s   A2'  374     0     0     0     0    0    0   4   3  s   A2"    1 17BaPoYuTe.240
9709.70509  0.01  0.01     2     0     0     2    0    2   3   0  s    E'  618     0     0     0     0    0    0   2   1  s    E"    2 17BaPoYuTe.234
9570.73871  0.01  0.01     2     0     0     2    0    2   3   0  s    E'  618     0     0     0     0    0    0   4   1  s    E"    3 17BaPoYuTe.228
9650.10891  0.01  0.01     2     0     0     2    0    2   3   0  s    E'  618     0     0     0     0    0    0   3   1  s    E"    2 17BaPoYuTe.231
9709.04319  0.01  0.01     2     0     0     2    0    2   3   0  a    E"  627     0     0     0     0    0    0   2   1  a    E'    2 17BaPoYuTe.349
9649.47541  0.01  0.01     2     0     0     2    0    2   3   0  a    E"  627     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.346
9570.14261  0.01  0.01     2     0     0     2    0    2   3   0  a    E"  627     0     0     0     0    0    0   4   1  a    E'    3 17BaPoYuTe.343
9680.75500  0.01  0.01     2     0     0     2    0    2   4   4  a   A2"  409     0     0     0     0    0    0   3   3  a   A2'    1 17BaPoYuTe.361
