        nu  unc1  unc2  nu1'  nu2'  nu3'  nu4'  L3'  L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"           E'        Calc'  Obs-Calc'   ErrByte         Source Method  BandMatch
9624.88691  0.01  0.01     2     0     0     2    0    2   0   0  s    E'   91     0     0     0     0    0    0   1   1  s    E"    1  9641.059903  9638.611732   2.448171  5.899854 17BaPoYuTe.215     Br       True
9625.74500  0.01  0.01     2     0     0     2    0    2   0   0  a    E"   84     0     0     0     0    0    0   1   1  a    E'    1  9642.708356  9642.285839   0.422517  0.230362 17BaPoYuTe.332     Br       True
9596.18121  0.01  0.01     2     0     0     2    0    2   1   1  a   A2'  152     0     0     0     0    0    0   2   0  a   A2"    1  9656.594228  9655.343241   1.250987  0.825561 17BaPoYuTe.333     Br       True
9604.04938  0.01  0.01     2     0     0     2    0    2   1   0  s    E'  261     0     0     0     0    0    0   2   1  s    E"    2  9659.988113  9659.677920   0.310193  3.978993 17BaPoYuTe.216     CD       True
9643.81534  0.01  0.01     2     0     0     2    0    2   1   0  s    E'  261     0     0     0     0    0    0   1   1  s    E"    1  9659.988333  9659.677920   0.310413  3.978721 17BaPoYuTe.217     CD       True
9615.79954  0.01  0.01     2     0     0     2    0    2   1   1  a    E'  262     0     0     0     0    0    0   2   2  a    E"    1  9661.386820  9661.461707  -0.074887  0.131678 17BaPoYuTe.335     Br       True
9646.76312  0.01  0.01     2     0     0     2    0    2   1   0  a    E"  270     0     0     0     0    0    0   1   1  a    E'    1  9663.726476  9662.806875   0.919601  0.782227 17BaPoYuTe.334     Br       True
9663.37826  0.01  0.01     2     0     0     2    0    2   2   2  s    E'  446     0     0     0     0    0    0   1   1  s    E"    1  9679.551253  9677.630698   1.920555  5.432850 17BaPoYuTe.219     Br      False
9624.93041  0.01  0.01     2     0     0     2    0    2   2   2  a    E"  439     0     0     0     0    0    0   2   1  a    E'    2  9681.639637  9680.565458   1.074179  0.308173 17BaPoYuTe.339     CD       True
9565.36153  0.01  0.01     2     0     0     2    0    2   2   2  a    E"  439     0     0     0     0    0    0   3   1  a    E'    2  9681.639825  9680.565458   1.074367  0.309296 17BaPoYuTe.336     CD       True
9603.66509  0.01  0.01     2     0     0     2    0    2   2   2  s   A2'  201     0     0     0     0    0    0   3   3  s   A2"    1  9689.526671  9689.210698   0.315973  4.600808 17BaPoYuTe.218     Br       True
9674.08662  0.01  0.01     2     0     1     0    1    0   0   0  s    E'   94     0     0     0     0    0    0   1   1  s    E"    1  9690.259613  9689.159059   1.100554  4.401476 17BaPoYuTe.440     Br       True
9674.19392  0.01  0.01     2     0     0     2    0    2   2   1  s   A2"  237     0     0     0     0    0    0   1   0  s   A2'    1  9694.083806  9693.749894   0.333912  4.277283 17BaPoYuTe.224     CD       True
9574.84609  0.01  0.01     2     0     0     2    0    2   2   1  s   A2"  237     0     0     0     0    0    0   3   0  s   A2'    2  9694.083949  9693.749894   0.334055  4.278778 17BaPoYuTe.221     CD       True
9679.61300  0.01  0.01     2     0     1     0    1    0   0   0  a    E"   85     0     0     0     0    0    0   1   1  a    E'    1  9696.576356  9690.460112   6.116244  4.234208 17BaPoYuTe.538     Br       True
9655.80439  0.01  0.01     2     0     0     2    0    2   2   1  s    E"  440     0     0     0     0    0    0   2   2  s    E'    1  9700.600368  9700.245421   0.354947  4.791990 17BaPoYuTe.220     Br       True
9586.37265  0.01  0.01     2     0     0     2    0    2   2   0  s    E'  447     0     0     0     0    0    0   3   1  s    E"    2  9701.909281  9701.654782   0.254499  4.305719 17BaPoYuTe.222     CD       True
9645.97333  0.01  0.01     2     0     0     2    0    2   2   0  s    E'  447     0     0     0     0    0    0   2   1  s    E"    2  9701.912063  9701.654782   0.257281  4.307675 17BaPoYuTe.223     CD       True
