nu   unc1 unc2      J" K" Hitran HJ" HK"     M
6540.2490 0.0002 0.0002 1 1 6540.2486 1 1   a
6540.9671 0.0002 0.0002 1 1 6540.9670 1 1 a
6564.8620 0.0002 0.0002 2 0 6564.8620 2 0 a
6568.3062 0.0002 0.0002 3 3 6568.3070 3 3 a
6568.4092 0.0002 0.0002 3 3 6568.4086 3 3 a
6568.4700 0.0002 0.0002 0 0 6568.4700 0 0 a
6592.6489 0.0002 0.0002 1 1 6592.6489 1 1 a
6592.7902 0.0002 0.0002 1 1 6592.7900 1 1 a
6624.4821 0.0002 0.0002 0 0 6624.4821 0 0 a
6625.6481 0.0002 0.0002 2 0 6625.6478 -1 -1 a
6634.4866 0.0002 0.0002 2 0 6634.4857 2 0 a
6638.0530 0.0002 0.0002 2 0 6638.0528 -1 -1 a
6646.5774 0.0002 0.0002 3 3 6646.5778 -1 -1 a
6647.6093 0.0002 0.0002 2 2 6647.6112 2 2 a
6647.6789 0.0002 0.0002 2 2 6647.6787 2 2 a
6648.6306 0.0002 0.0002 2 2 6648.6314 2 2 a
6648.7199 0.0002 0.0002 1 1 6648.7211 -1 -1 a
6648.9582 0.0002 0.0002 2 2 6648.9293 2 2 a
6649.9177 0.0002 0.0002 1 1 6649.9180 -1 -1 a
6652.4693 0.0002 0.0002 1 1 6652.4699 1 1 a
6652.5029 0.0002 0.0002 1 1 6652.5026 1 1 a
6658.9062 0.0002 0.0002 3 3 6658.9067 3 3 a
6658.9568 0.0002 0.0002 3 3 6658.9585 3 3 a
6659.2601 0.0002 0.0002 2 0 6659.2605 2 1 a
6661.2587 0.0002 0.0002 1 1 6661.2587 1 1 a
6661.3464 0.0002 0.0002 1 1 6661.3470 1 1 a
6662.1899 0.0002 0.0002 2 0 6662.1906 -1 -1 a
6664.0026 0.0002 0.0002 3 3 6664.0032 2 0 A1
6664.9060 0.0002 0.0002 3 3 6664.9066 -1 -1 a
6666.0730 0.0002 0.0002 1 0 6666.0729 -1 -1 a
6668.4320 0.0002 0.0002 2 0 6668.4323  3 3 a
6668.9648 0.0002 0.0002 1 1 6668.9644  1 1 a
6685.2671 0.0002 0.0002 0 0 6685.2679 -1 -1 a
6694.1059 0.0002 0.0002 0 0 6694.1060 -1 -1 a
6697.6719 0.0002 0.0002 0 0 6697.6739 -1 -1 a
6755.2643 0.0002 0.0002 2 0 6755.2645  2 1  a
6755.4360 0.0002 0.0002 2 0 6755.4360  2 0 a
6775.4505 0.0002 0.0002 1 0 6775.4485  1 0  a
6807.2132 0.0002 0.0002 2 0 6807.2124 -1 -1 a
6815.0567 0.0002 0.0002 0 0 6815.0560  0 0  a
6833.1136 0.0002 0.0002 1 0 6833.1135  1 0 a
6833.4725 0.0002 0.0002 1 1 6833.4725  1 1 a
6833.6445 0.0002 0.0002 1 1 6833.6443  1 1 a
6833.6923 0.0002 0.0002 1 1 6833.6916  1 1 a
6834.0718 0.0002 0.0002 1 1 6834.0719  1 1 a
6866.8330 0.0002 0.0002 0 0 6866.8332 -1 -1 a
