        C3     C4  Uncertainty  C14  C15  C16  C17  C18  C19  C22  C23 C20 C25  C26  C27  C28  C29  C30  C31  C32  C35  C36 C33 C38  C39       Source
4275.14360 0.0005       0.0005    1    1    0    0    0    0    9    7   s  E"  126    0    0    0    0    0    0   10   10   s  E'    1   21CeCaCo.1
4275.26950 0.0005       0.0005    1    1    0    0    0    0   12   10   s  E'  159    0    0    0    0    0    0   12   10   a  E"    2   21CeCaCo.2
4275.36140 0.0005       0.0005    0    1    1    0    1    0    6    2   a  E"  103    0    0    0    0    0    0    7    1   a  E'    5   21CeCaCo.3
4275.64260 0.0005       0.0005    0    1    0    2    0    0    8    7   s  E"  102    0    0    0    0    0    0    7    7   a  E'    1   21CeCaCo.4
4275.67480 0.0005       0.0005    0    1    1    0    1    0    7    1   a  E'  121    0    0    0    0    0    0    8    2   a  E"    5   21CeCaCo.5
4275.80180 0.0005       0.0005    1    1    0    0    0    0   11   10   s  E'  144    0    0    0    0    0    0   11   10   a  E"    2   21CeCaCo.6
4275.83820 0.0005       0.0005    0    1    0    2    0    0    5    3   a A2'   40    0    0    0    0    0    0    4    3   s A2"    1   21CeCaCo.7
4275.85950 0.0005       0.0005    0    1    0    2    0    2    4    2   a A2"   35    0    0    0    0    0    0    3    0   s A2'    2   21CeCaCo.8
4276.00320 0.0005       0.0005    0    3    1    0    1    0    3    2   s A2'   67    0    2    0    0    0    0    3    3   s A2"    3   21CeCaCo.9
4276.06500 0.0005       0.0005    0    1    0    2    0    2   10    7   s A2"   68    0    0    0    0    0    0    9    6   s A2'    2  21CeCaCo.10
4276.11660 0.0005       0.0005    0    1    1    0    1    0    6    0   s  E'  103    0    0    0    0    0    0    7    1   s  E"    5  21CeCaCo.11
4276.14070 0.0005       0.0005    0    1    0    2    0    0    7    0   s A2'   53    0    0    0    0    0    0    6    0   a A2"    3  21CeCaCo.12
4276.24350 0.0005       0.0005    0    1    0    2    0    2    9    7   a A2'   63    0    0    0    0    0    0    9    9   s A2"    1  21CeCaCo.13
4276.26780 0.0005       0.0005    0    2    0    2    0    0    6    0   a A2"   92    0    1    0    0    0    0    5    0   s A2'    4  21CeCaCo.14
4276.43300 0.0005       0.0005    0    2    0    2    0    0    5    2   a  E"  148    0    1    0    0    0    0    4    2   s  E'    5  21CeCaCo.15
