nu1' nu2' nu3' L3' nu4' L4' J' K' GammaRot Gammatot Eobs Calc' obs–calc CD
4 0 0 0 0 0 s 2 1 E" E" 12681.2069 12680.5364 0.6705 –0.0030
4 0 0 0 0 0 s 3 0 A2' A2' 12741.5406 12745.3641 –3.8235 0.0018
4 0 0 0 0 0 s 4 1 E" E" 12812.1747 12814.5152 –2.3405 0.0002
4 0 0 0 0 0 s 4 3 A2" A2" 12787.2347 12785.4952 1.7395 –0.0026
4 0 0 0 0 0 s 5 0 A2' A2' 12916.2438 12918.2295 –1.9857 0.0060
4 0 0 0 0 0 s 5 3 A2" A2" 12879.9778 12881.4929 –1.5151 0.0040
4 0 0 0 0 0 s 7 0 A2' A2' 13162.1885 13163.9509 –1.7624 –0.0080
4 0 0 0 0 0 s 7 3 A2" A2" 13121.4242 13124.2805 –2.8563 0.0024
4 1 0 0 0 0 a 1 1 E" E' 12647.3807 12647.9248 –0.5441 0.0056
4 1 0 0 0 0 a 3 1 E" E' 12739.5634 12742.1144 –2.5510 0.0030
4 1 0 0 0 0 a 4 1 E" E' 12814.5824 12819.3480 –4.7656 0.0054
4 1 0 0 0 0 a 4 3 A1" A2' 12792.7603 12792.6131 0.1472 –0.0042
4 1 0 0 0 0 a 5 3 A1" A2' 12885.1122 12886.2266 –1.1144 0.0005
3 0 1 1 0 0 s 1 0 A2' E' 12644.1652 12648.5232 –4.3580 0.0030
3 0 1 1 0 0 s 1 1 E" A2" 12639.5608 12644.8754 –5.3146 –0.0005
3 0 1 1 0 0 s 2 0 A1' E' 12687.1540 12687.8175 –0.6711 –0.0089
3 0 1 1 0 0 s 2 1 E" A2" 12678.5295 12682.6027 –4.0732 0.0000
3 0 1 1 0 0 s 2 2 E' E' 12668.3932 12671.7701 –3.3769 –0.0034
3 0 1 1 0 0 s 3 0 A2' E' 12745.0456 12746.3841 –1.3385 0.0001
3 0 1 1 0 0 s 3 1 E" E" 12735.2715 12740.3391 –5.0676 –0.0048
3 0 1 1 0 0 s 3 2 E' A2' 12727.4345 12729.9911 –2.5566 –0.0077
3 0 1 1 0 0 s 3 3 A1" E" 12708.3978 12711.1960 –2.7982 0.0037
3 0 1 1 0 0 s 3 3 A2" E" 12714.9295 12712.8911 2.0384
