C.1	C.2       	C.3    	C.4       	C.5               	C.6	C.7	C.8	C.9	C.10	C.11	C.12	C.13	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32
1	3900.15278	     	1.9300E-25																												
1	3900.17631	     	3.8391E-25																												
1	3900.37856	0.00002	1.6951E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	4	3	3	62	0	0	0	0	0	0	0	1	6	5	6	6	1
1	3901.15994	     	3.2307E-25																												
1	3901.37016	     	7.5524E-25																												
1	3901.63282	0.00001	1.1007E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	3	2	3	2	24	0	0	0	0	0	0	1	5	4	0	1	5	2
1	3901.68586	     	6.8391E-25																												
1	3901.86472	     	1.6364E-24																												
1	3902.55096	0.00008	1.5503E-24	0202_00_sA1'<-0100	1	0	2	0	2	0	0	0	1	5	0	2	2	55	0	1	0	0	0	0	1	5	4	0	1	5	4
1	3903.04653	0.00009	5.7570E-24	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	6	3	5	5	80	0	1	0	0	0	0	1	5	7	3	4	2	5
1	3903.12246	0.00021	7.5104E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	8	2	3	2	47	0	0	0	0	0	0	1	5	9	6	1	5	2
1	3903.14397	     	5.6223E-25																												
1	3903.27156	     	1.4622E-24																												
1	3903.71272	0.00042	6.3566E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	8	5	6	5	51	0	0	0	0	0	0	1	5	8	3	4	2	2
1	3903.88874		1.6448E-24	0202_02_sE'<-0100	1	0	2	0	2	0	2	0	3	5	4	3	2	53	0	1	0	0	0	0	0	1	4	3	5	5	3
1	3904.14250	     	6.0209E-25																												
1	3904.65567	     	2.7062E-25																												
1	3905.15332	0.00009	6.9020E-25	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	4	2	3	5	53	0	1	0	0	0	0	1	5	5	3	4	2	3
1	3905.21293	0.00001	5.3496E-25	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	11	8	3	3	143	0	0	0	0	0	0	1	5	12	8	3	6	3
1	3905.24748	     	2.7482E-25																												
1	3905.43609	     	4.8880E-25																												
1	3905.46980	0.00012	2.8112E-24	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	6	4	3	6	76	0	0	0	0	0	0	0	1	7	4	3	3	3
1	3905.53414	     	2.8111E-25																												
1	3905.72807	     	8.6643E-25																												
1	3905.81045	     	2.5384E-25																												
1	3905.97167	0.00014	3.0966E-24	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	6	2	3	3	154	0	1	0	0	0	0	1	5	7	2	3	6	10
1	3906.08029	     	9.3566E-25																												
1	3906.41813	     	2.2447E-25																												
1	3906.81896	0.00036	4.6153E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	6	0	1	3	78	0	0	0	0	0	0	1	5	7	4	3	6	3
1	3906.88024	     	3.3566E-25																												
1	3907.00761	0.00018	1.2566E-24	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	7	7	6	3	85	0	0	0	0	0	0	0	1	8	7	6	6	2
1	3907.11173	0.00056	3.1678E-25	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	12	11	6	3	145	0	0	0	0	0	0	0	1	13	11	6	6	2
1	3907.48727	     	2.1818E-25																												
1	3907.57365	     	6.4615E-25																												
1	3907.86934	0.00001	3.6001E-24	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	6	1	6	6	153	0	1	0	0	0	0	1	5	7	1	6	3	10
1	3907.97227	0.00002	5.5594E-25	0401_01_sE'<-0100	1	0	4	0	1	0	1	0	3	6	5	6	5	82	0	1	0	0	0	0	1	5	7	3	4	2	5
1	3908.32424	0.00038	1.9175E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	7	4	3	2	46	0	0	0	0	0	0	1	5	8	6	1	5	1
1	3908.38141	0.00015	2.7441E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	1	6	5	29	0	0	0	0	0	0	1	5	6	3	4	2	2
1	3908.43468	     	1.7412E-25																												
1	3908.62724	0.00008	7.3636E-25	0401_01_sE'<-0100	1	0	4	0	1	0	1	0	3	6	4	3	3	155	0	1	0	0	0	0	1	5	7	2	3	6	10
1	3909.04945	     	2.4965E-25																												
1	3909.13508	0.00007	3.4532E-24	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	5	6	6	118	0	1	0	0	0	0	1	5	6	5	6	3	5
1	3909.17668	0.00011	5.2866E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	5	6	5	28	0	0	0	0	0	0	0	1	6	6	2	2	1
1	3909.74978	     	2.4755E-25																												
1	3910.37545	0.00018	4.2167E-25	1300_00_sA1'<-0200	1	1	3	0	0	0	0	0	1	3	1	6	6	111	0	2	0	0	0	0	1	5	2	1	6	3	9
1	3910.69398	     	2.3706E-25																												
1	3910.76570	     	8.3076E-25																												
1	3910.94783	0.00006	4.5734E-25	0202_00_aA2"<-0100	1	0	2	0	2	0	0	1	5	6	4	3	6	154	0	1	0	0	0	0	1	5	7	1	6	3	10
1	3911.01341	0.00010	3.5034E-25	1300_00_sA1'<-0200	1	1	3	0	0	0	0	0	1	3	2	3	3	110	0	2	0	0	0	0	1	5	2	2	3	6	9
1	3911.04451	     	3.3356E-25																												
1	3911.14370	0.00015	1.2587E-24	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	10	8	3	3	127	0	0	0	0	0	0	1	5	11	8	3	6	3
1	3911.19186	     	1.4895E-25																												
1	3911.28225	0.00010	2.3811E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	4	2	3	2	23	0	0	0	0	0	0	0	1	5	3	5	5	1
1	3911.49081	0.00042	1.9930E-25	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	12	7	6	6	166	0	0	0	0	0	0	1	5	13	7	6	3	5
