C.1 	  C.2         	C.3       	C.4	  C.5         	 C.6     	C.7	 C.8     	  C.9         	C.10      	  C.11        	  C.12        	C.13              	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32	C.33	C.34	C.35	C.36	C.37	C.38	C.39	C.40
1	  3900.15278	1.9300E-25	3																																				
2	  3900.17631	3.8391E-25	3																																				
3	  3900.37854	1.6951E-24	3	  3900.37856	 0.00002	3	 0.00002	  3900.32252	8.5755E-25	   324.36750	  4224.69000	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	4	3	3	62	0	0	0	0	0	0	0	1	6	5	6	6	1
4	  3901.15994	3.2307E-25	3																																				
5	  3901.37016	7.5524E-25	3																																				
6	  3901.63280	1.1007E-24	4	  3901.63282	 0.00001	4	 0.00002	  3901.56863	1.0088E-24	   199.29450	  4100.86310	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	3	2	3	2	24	0	0	0	0	0	0	1	5	4	0	1	5	2
7	  3901.68586	6.8391E-25	3																																				
8	  3901.86472	1.6364E-24	3																																				
9	  3902.55088	1.5503E-24	3	  3902.55096	 0.00008	2	 0.00008	  3902.40680	1.5091E-24	  1165.63720	  5068.04400	0202_00_sA1'<-0100	1	0	2	0	2	0	0	0	1	5	0	2	2	55	0	1	0	0	0	0	1	5	4	0	1	5	4
10	  3903.04644	5.7570E-24	3	  3903.04653	 0.00009	3	 0.00009	  3902.94569	7.1678E-24	  1486.74320	  5389.68890	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	6	3	5	5	80	0	1	0	0	0	0	1	5	7	3	4	2	5
11	  3903.12245	7.5104E-25	3	  3903.12246	 0.00021	4	 0.00001	  3903.05530	7.1810E-25	   758.99950	  4662.05480	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	8	2	3	2	47	0	0	0	0	0	0	1	5	9	6	1	5	2
12	  3903.14397	5.6223E-25	3																																				
13	  3903.27156	1.4622E-24	3																																				
14	  3903.71210	6.3566E-25	3	  3903.71272	 0.00042	2	 0.00062	  3903.65777	5.2439E-25	   679.83520	  4583.49300	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	8	5	6	5	51	0	0	0	0	0	0	1	5	8	3	4	2	2
