C.1	C.2       	C.3       	C.4       	C.5                 	C.6	C.7	C.8	C.9	C.10	C.11	C.12	C.13	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32
	4705.08151	          	2.2482E-24																												
	4705.40629	          	2.4280E-25																												
	4705.73790	          	5.7254E-25																												
	4705.85017	          	4.3665E-25																												
	4706.06223	          	1.8485E-25																												
	4706.19972	          	2.9776E-24																												
	4706.26186	          	7.9136E-25																												
1	4706.41275	   0.00009	3.1475E-25	0310_10_sE'<-0100   	1	0	3	1	0	1	0	0	3	8	1	6	5	153	0	1	0	0	0	0	0	1	9	0	2	2	8
1	4706.43700	          	5.7654E-25	0102_02_aE"<-0000   	1	0	1	0	2	0	2	1	6	11	5	6	3	160	0	0	0	0	0	0	1	5	10	10	3	6	1
	4706.50174	          	5.9052E-25																												
	4706.61042	          	6.6347E-25																												
	4707.36102	          	7.5140E-25																												
	4707.37462	          	2.1583E-24																												
	4707.54738	          	2.2782E-24																												
1	4707.62162	   0.00122	4.8561E-25	1001_01_aE"<-0000   	1	1	0	0	1	0	1	1	6	10	8	3	6	206	0	0	0	0	0	0	1	5	11	7	6	3	4
1	4707.64770	   0.00045	5.0859E-25	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	10	8	3	3	208	0	0	0	0	0	0	0	1	11	7	6	6	4
	4707.76808	          	3.8869E-25																												
	4707.93561	          	2.9476E-24																												
	4707.98719	          	9.6422E-25																												
	4708.22854	          	4.9061E-25																												
	4708.38594	          	1.3289E-25																												
1	4708.45286	   0.00013	3.4372E-25	0011_11_aE"<-0000   	1	0	0	1	1	1	1	1	6	12	9	4	3	258	0	0	0	0	0	0	1	5	13	8	3	6	4
	4708.49435	          	4.6163E-25																												
	4708.60204	          	1.2190E-24																												
1	4708.74349	   0.00019	6.1151E-25	1300_00_sA1'<-0100  	1	1	3	0	0	0	0	0	1	2	1	6	6	80	0	1	0	0	0	0	1	5	3	1	6	3	4
	4708.85217	          	2.9077E-25																												
	4708.88960	          	6.2650E-25																												
	4708.93468	          	5.7953E-25																												
	4709.01336	          	3.3373E-25																												
1	4709.08377	          	9.7322E-25	0110_10_sE'<-0000   	1	0	1	1	0	1	0	0	3	12	9	4	6	177	0	0	0	0	0	0	0	1	11	10	3	3	2
1	4709.34236	          	6.7646E-25	0110_10_sE'<-0000   	1	0	1	1	0	1	0	0	3	14	6	1	3	240	0	0	0	0	0	0	0	1	13	7	6	6	5
	4709.43790	          	2.2182E-24																												
	4709.68362	          	2.0983E-24																												
	4709.83149	          	1.8685E-25																												
	4709.84924	          	1.9085E-24																												
	4710.02860	          	2.1683E-25																												
1	4710.17350	   0.00095	4.6862E-25	1300_00_sA1'<-0100  	1	1	3	0	0	0	0	0	1	2	2	3	3	82	0	1	0	0	0	0	1	5	3	2	3	6	4
1	4710.21998	          	1.0991E-24	1100_00_sA1'<-0000  	1	1	1	0	0	0	0	0	1	12	7	6	6	178	0	0	0	0	0	0	0	1	11	10	3	3	2
