ν1	ν2	ν3	ν4	L3	L4	J	K	i	Γ	Nb	E (cm-1)	δ (cm-1)	Transitions
0	0	0	0	0	0	0	0	a	A2"	1	0.000000000	1.00E-04	97
0	0	0	0	0	0	1	1	s	E"	1	15.37959363	1.00E-04	275
0	0	0	0	0	0	1	1	a	E'	1	16.16995663	1.41E-04	291
0	0	0	0	0	0	1	0	s	A2'	1	19.096483	1.00E-04	193
0	0	0	0	0	0	2	2	s	E'	1	44.00259527	2.00E-04	287
0	0	0	0	0	0	2	2	a	E"	1	44.79389727	1.74E-04	294
0	0	0	0	0	0	2	1	s	E"	2	55.14533328	1.73E-04	381
0	0	0	0	0	0	2	1	a	E'	2	55.91582728	1.41E-04	382
0	0	0	0	0	0	2	0	a	A2"	1	59.61961465	1.41E-04	265
0	0	0	0	0	0	3	3	s	A2"	1	85.06818541	2.00E-04	331
0	0	0	0	0	0	3	3	a	A2'	1	85.86440741	1.74E-04	340
0	0	0	0	0	0	3	2	s	E'	1	103.6287003	2.00E-04	397
0	0	0	0	0	0	3	2	a	E"	1	104.3903663	1.85E-04	390
0	0	0	0	0	0	3	1	s	E"	2	114.7432273	1.73E-04	445
0	0	0	0	0	0	3	1	a	E'	2	115.4848903	2.00E-04	459
0	0	0	0	0	0	3	0	s	A2'	2	118.4444465	1.73E-04	280
0	0	0	0	0	0	4	4	s	E'	1	138.5646492	2.01E-04	246
0	0	0	0	0	0	4	4	a	E"	1	139.3698532	2.24E-04	258
0	0	0	0	0	0	4	3	s	A2"	1	164.5376898	2.00E-04	442
0	0	0	0	0	0	4	3	a	A2'	1	165.2944907	2.24E-04	455
0	0	0	0	0	0	4	2	s	E'	2	183.0357105	2.00E-04	435
0	0	0	0	0	0	4	2	a	E"	2	183.7596565	2.24E-04	447
0	0	0	0	0	0	4	1	s	E"	3	194.1129517	2.24E-04	440
0	0	0	0	0	0	4	1	a	E'	3	194.8179158	2.00E-04	444
0	0	0	0	0	0	4	0	a	A2"	2	198.5005205	2.00E-04	322
0	0	0	0	0	0	5	5	s	E"	1	204.4757381	2.27E-04	259
0	0	0	0	0	0	5	5	a	E'	1	205.2940701	2.46E-04	254
0	0	0	0	0	0	5	4	s	E'	2	237.8592567	2.45E-04	367
0	0	0	0	0	0	5	4	a	E"	2	238.6148797	2.24E-04	359
0	0	0	0	0	0	5	3	s	A2"	1	263.7232303	2.45E-04	492
0	0	0	0	0	0	5	3	a	A2'	1	264.4332303	2.24E-04	504
0	0	0	0	0	0	5	2	s	E'	3	282.1437914	2.45E-04	441
0	0	0	0	0	0	6	6	s	A2'	1	282.7810512	2.65E-04	263
0	0	0	0	0	0	5	2	a	E"	3	282.8233134	2.24E-04	422
0	0	0	0	0	0	6	6	a	A2"	1	283.6168302	2.45E-04	282
